time,side,ticker_id,mv_up_composite_labels,dist_lower_bb_50_2.5_df055,ma_cloud_diff_21_50_df007
2006-03-21 00:00:00+00,LONG,1888,0.8444444444444444,-0.024461012,-0.032943197
2006-03-24 00:00:00+00,LONG,3218,0.41133683667005005,-0.025658267,-0.01125356
2006-03-27 00:00:00+00,LONG,487,1.0,-0.026100542,-0.048524227
2006-03-27 00:00:00+00,LONG,3218,0.4021333983806227,-0.025120066,-0.011122506
2006-03-30 00:00:00+00,LONG,3535,0.39865519124795296,-0.025934115,-0.004546184
2006-04-05 00:00:00+00,LONG,3535,0.3100651487484079,-0.02612543,-0.0052812817
2006-04-05 00:00:00+00,LONG,3890,0.0,-0.025427999,-0.009917982
2006-04-12 00:00:00+00,LONG,4218,0.0,-0.025299065,-0.008479011
2006-04-12 00:00:00+00,LONG,3381,1.0,-0.024858074,-0.017105516
2006-04-12 00:00:00+00,LONG,1780,0.30954839767479025,-0.024663502,-0.0032575522
2006-04-13 00:00:00+00,LONG,386,0.37065469924078914,-0.025540737,-0.008585261
2006-04-13 00:00:00+00,LONG,2728,0.3881421134594756,-0.0245722,5.683971E-4
2006-04-13 00:00:00+00,LONG,3218,0.27890089123328127,-0.02439792,6.228086E-4
2006-04-13 00:00:00+00,LONG,1848,0.0,-0.026125005,0.0027280534
2006-04-17 00:00:00+00,LONG,2084,0.5611957168620971,-0.026145352,0.007406442
2006-04-17 00:00:00+00,LONG,93,0.7084898570257283,-0.024883436,-0.013089422
2006-04-17 00:00:00+00,LONG,4218,0.0,-0.025746332,-0.0095607
2006-04-17 00:00:00+00,LONG,2408,0.730971266737427,-0.025061527,0.0104574775
