time,side,ticker_id,mv_dn_composite_labels,skew_weighted_10_df037,vola_roc_1_5_df040,normalized_3m_df004,price_to_sales_minmax_universe_df071
2008-02-27 00:00:00+00,SHORT,64,0.0,0.35475287,1.8471472,0.4827586,0.0055
2008-02-27 00:00:00+00,SHORT,133,0.0,0.35629526,0.36047018,0.875,0.0072
2008-02-27 00:00:00+00,SHORT,417,0.3968260378965367,0.40982595,0.7741238,0.84782606,0.0069
2008-02-27 00:00:00+00,SHORT,475,0.26711413889042274,0.3998403,1.7756547,0.12790698,0.005
2008-02-27 00:00:00+00,SHORT,2638,0.0,0.41748667,-0.18789522,0.25,0.0073
2008-02-27 00:00:00+00,SHORT,2778,0.0,0.34380698,1.1551555,0.5714286,0.009
2008-02-27 00:00:00+00,SHORT,780,0.0,0.42153135,0.20034009,0.85294116,0.0088
2008-02-27 00:00:00+00,SHORT,862,0.7781775780665718,0.34774274,1.8775904,0.8627451,0.0049
2008-02-27 00:00:00+00,SHORT,2993,1.0,0.3592644,0.21322192,0.73913044,0.0068
2008-02-27 00:00:00+00,SHORT,1220,0.38154645963053074,0.3726495,0.27414507,0.38709676,0.0075
2008-02-27 00:00:00+00,SHORT,3470,0.593175757465729,0.45079124,1.4107226,0.2857143,0.0056
2008-02-27 00:00:00+00,SHORT,3614,0.35451777916139626,0.46086007,0.71560866,0.61904764,0.0073
2008-02-27 00:00:00+00,SHORT,3681,0.6419980482432726,0.37030408,1.1057734,0.7093023,0.0049
2008-02-27 00:00:00+00,SHORT,3802,1.0,0.39434353,1.8556354,0.25581396,0.0057
2008-02-27 00:00:00+00,SHORT,1939,0.9230769230769231,0.44661066,0.5704255,0.7837838,0.0095
2008-02-28 00:00:00+00,SHORT,2050,0.50202665667877,0.3908337,0.7407944,0.084337346,0.005
2008-02-28 00:00:00+00,SHORT,4140,0.3233977816623815,0.37809044,0.8849209,0.61290324,0.0069
2008-02-28 00:00:00+00,SHORT,960,0.0,0.38511014,0.4953748,0.25,0.008
2008-02-28 00:00:00+00,SHORT,1112,0.8,0.35907012,0.59519356,0.05,0.0085
2008-02-28 00:00:00+00,SHORT,3470,0.5843323945999978,0.3717053,0.9389052,0.2857143,0.0057
2008-02-28 00:00:00+00,SHORT,1826,0.0,0.37124932,0.18176794,0.8,0.0075
2008-02-29 00:00:00+00,SHORT,2557,0.0,0.34743714,0.21956283,0.21212122,0.0072
2008-02-29 00:00:00+00,SHORT,960,0.0,0.36057642,0.64932525,0.27272728,0.0083
